ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
1a061860efe2fd1091f90de83d82ff4d,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,unclassified
3ecc0270390f6c66a29c6ce70e22993a,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unclassified
d6ca02b0a7cbb6523994dbccb2745e34,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Trichosphaeriaceae,Nigrospora,unclassified
dfae99c361d1e1ed15881895ecaba79b,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Trichosphaeriaceae,Nigrospora,unclassified
eeb6af09a10ea25f16902ec3baaf3ec3,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unclassified
a6141c0f6bb3750205c3cda5167476f3,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_acutatum
3ef59b2f9f412671f09d8618873e7c30,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_cavaraeanum
f7dd44c336b77986e6cb10c7619925ee,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_citrinum
dbe0d73656cfb2fe088bd08f572bb935,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_fusidioides
51121d174235724d93d9ad2496a65689,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_persicinum
cf7eebbf15ad2583e6df48d41e76cde7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_persicinum
7dc7bd97d9ee8c14bebb3acce7cd6c2f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sclerotigenum
6e79f61a9eabfa983911c214104a0c28,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sclerotigenum
139eac6de33612ae7b1317e0c7a53043,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sclerotigenum
de5e90825c758609645b5c53e81658bb,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_verruculosum
30ece62aa14b8fd8c4e6d9df22c46468,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma_sp
7163516247fddd5ed4fd018fdc5d43dd,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma_sp
0f0250ca47341252dee11521bd147442,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma_sp
3fda4e2d39ac5f8bc37245b7a47531ce,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_fusispora
0b453252497011605b974ae83ca03be1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_hechuanensis
