"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"82","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_arcana_f7097410bdc5b2494a59cf53befb39fc",0,0,0,0,0,54,70,35,0,0,0,0,0,33,0,140,0,112,0,24,0,38,45,0
"83","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_Alternaria_sp_0d28e1bb97e7e89fd3c7d1f88af77000",21,0,0,0,0,0,0,15,29,23,0,24,32,0,0,55,0,40,0,0,0,0,0,0
"84","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Zygopleurage_Zygopleurage_sp_eccdc8504c3be0a0317f855aa4da23a2",384,19,0,0,13,0,0,394,43,0,0,0,8,0,0,35,0,0,0,7,0,0,15,8
"85","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_503a3f4de445493535f9fd4491b7ac2e",14,18,0,9,0,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0
"86","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_32e22e511bf5728277a1f9fd95bc1a70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
"87","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_ced2c34c85c5e48afbb81480c37b38d4",0,9,0,15,3,0,9,0,8,0,15,0,0,0,0,1,0,0,0,0,257,17,11,29
"88","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_unclassified_3337b252837c394adcd73ead4c097a6e",0,0,4,0,0,9,53,0,17,0,0,0,0,0,0,0,0,0,0,36,166,0,0,69
"89","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Pithoascus_Pithoascus_sp_d2ad2d924043eade180170560ff78cdd",0,0,11,0,35,0,0,16,0,0,0,7,0,10,0,3,6,17,4,0,1,0,11,0
"90","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_44d350b5b3a140a693b38c2784eee484",0,54,0,76,0,67,92,0,43,0,0,0,0,102,29,0,79,73,51,25,12,0,15,0
"91","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ebd22203707577101721bca6e9038c1f",6,0,8,5,17,12,0,5,7,5,12,23,6,6,0,6,14,6,6,10,0,13,19,0
"92","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_9068c3f1f2c67d9b5532230e9d8eee77",0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,440,0,0,0,0,0,4,0,0
"93","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_838358b35f92a101a834fdeffa576e92",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,56,0
"94","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5951a7f81b2f0eacaa9f1a66a2ebc6d0",0,0,0,0,11,26,2,125,4,8,7,26,41,0,24,0,0,28,23,0,0,22,0,0
"95","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_piperis_c829fbe61c3edf1e62c627b8b0b26c4a",20,22,0,61,27,0,0,27,0,0,0,38,0,5,0,23,0,23,0,16,39,0,0,38
"96","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2eb319753ed2db89c070456d74efc7c9",0,22,0,0,14,0,0,0,0,0,0,0,0,0,35,0,0,20,0,0,0,0,0,0
"97","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp_2618724a43b62712d10467d2dd1e7c3e",1,17,0,7,0,0,0,0,14,0,0,5,3,0,0,0,0,0,0,21,96,18,11,23
"98","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_6572f85164ecd388f71d5185981a3236",46,0,38,0,0,0,0,0,0,83,0,0,0,0,146,0,0,0,0,0,0,0,0,0
