FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
2386e30011476d10a2df7180adb3cab0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
973d57ed7701ebfe7915e40661eed179,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
383d2f5d33c7fb2ba9349252bf49b968,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
67a8c57b84cbaa8eca15ef967e21e1c2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
30086a3ed443477a2e445c5aff76bccd,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
231d8c8b22a1dbb35f240a121d9b9ddd,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
e87bd2d46c7330d299377e0933807204,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
474d008b69ee47f00fc9e89398f3c33e,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
a4e6f285f88854a3ee6f06c289c7e406,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
320b48a3a2ffbd1ae7d0795e131faed7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
7990c4a3032fe1ef26efcffd1e3175ad,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
964e6661c29c30ffc5488c7649884f38,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
629d99b3862fce933c300826fff156f6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
7e23a4d65928ca87680e8c6929abf54a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
